2.000000000000000000e+00 1.021614561664132111e+03 3.110397857962758639e-02 1.823703986943281577e-06 2.637580071634287204e+00
3.000000000000000000e+00 9.675952254891898292e+02 3.999377046067606467e-02 3.647881199238779362e-06 2.958501726088987649e+00
4.000000000000000000e+00 9.156980991032404518e+02 3.478182031355835091e-02 6.080849776541908400e-06 2.775955444585560095e+00
5.000000000000000000e+00 8.770100969447055377e+02 2.330336605711020095e-02 9.123230039327485355e-06 2.365333164653962594e+00
6.000000000000000000e+00 8.506440303438715773e+02 1.307673407561505373e-02 1.277578826012339228e-05 1.906312494009805958e+00
7.000000000000000000e+00 8.339326564045544501e+02 7.066053641611484519e-03 1.703943071270310372e-05 1.498441260315102719e+00
8.000000000000000000e+00 8.239389932491344553e+02 4.537892148553504534e-03 2.191519658193632296e-05 1.185361272348844475e+00
9.000000000000000000e+00 8.192978224774210503e+02 3.630219318640414469e-03 2.740424994427771843e-05 9.725204144054575561e-01
1.000000000000000000e+01 8.185616467639401890e+02 3.098507633171975265e-03 3.350787071582056698e-05 8.519308885825526145e-01
1.100000000000000000e+01 8.203436109723210166e+02 2.616027454259112466e-03 4.022744478974045945e-05 8.062043676806213144e-01
1.200000000000000000e+01 8.253731600230291860e+02 2.294091411596297682e-03 4.756445335233171613e-05 8.163385250543798710e-01
1.300000000000000000e+01 8.317452487802277119e+02 2.208581162702750404e-03 5.552046147482644792e-05 8.586323095505677960e-01
1.400000000000000000e+01 8.392907789153726981e+02 2.299570872349294710e-03 6.409710618868415439e-05 9.118610692660379380e-01
1.500000000000000000e+01 8.469589589248124639e+02 2.484578966956983541e-03 7.329608400162699515e-05 9.683791273533426391e-01
1.600000000000000000e+01 8.565335137205188403e+02 2.742414503870920992e-03 8.311913802202817504e-05 1.029663125868725215e+00
1.700000000000000000e+01 8.678622799130556587e+02 3.115877132891968233e-03 9.356804484125771026e-05 1.093154022583105567e+00
1.800000000000000000e+01 8.797984463809607405e+02 3.649156772013012733e-03 1.046446011887030235e-04 1.157581768485354212e+00
1.900000000000000000e+01 8.930989825672554616e+02 4.346228439712373874e-03 1.163506106237916654e-04 1.226163142207603807e+00
2.000000000000000000e+01 9.061515065659302763e+02 5.184782662146099862e-03 1.286878702194596937e-04 1.293906152151419908e+00
2.100000000000000000e+01 9.196528991956125765e+02 6.158021346439701213e-03 1.416581573038597349e-04 1.365414351195050502e+00
2.200000000000000000e+01 9.336316512736253799e+02 7.276512013369141468e-03 1.552632168367276038e-04 1.441047137923093580e+00
2.300000000000000000e+01 9.477018627133641075e+02 8.532488367714452168e-03 1.695047486282080177e-04 1.518117318735014099e+00
2.400000000000000000e+01 9.621835197746078165e+02 9.923165946710929552e-03 1.843843957667482328e-04 1.593199457095984872e+00
2.500000000000000000e+01 9.772100734404202740e+02 1.145311256879144070e-02 1.999037329334225313e-04 1.658504702322777469e+00
2.600000000000000000e+01 9.922909140864290976e+02 1.313453392416661855e-02 2.160642558030828955e-04 1.717679163935089903e+00
2.700000000000000000e+01 1.007834773928991126e+03 1.497820311257539415e-02 2.328673712010531768e-04 1.771515464518320426e+00
2.800000000000000000e+01 1.023671243068025547e+03 1.697799262781192822e-02 2.503143878261283786e-04 1.815235691722814071e+00
2.900000000000000000e+01 1.039719617171943128e+03 1.916032862771385389e-02 2.684065086039211906e-04 1.853871225833149117e+00
3.000000000000000000e+01 1.056173245372223846e+03 2.155394682950407398e-02 2.871448229990874188e-04 1.880773077452391195e+00
3.100000000000000000e+01 1.072426896479918696e+03 2.415513148003645832e-02 3.065303015992305695e-04 1.906747805489010128e+00
3.200000000000000000e+01 1.089287167754025404e+03 2.697983899286192019e-02 3.265637900753872044e-04 1.926749746851465828e+00
3.300000000000000000e+01 1.106229066635436538e+03 2.998773182614243582e-02 3.472460067028710620e-04 1.939254805130474546e+00
3.400000000000000000e+01 1.123233796563400347e+03 3.320413215347849112e-02 3.685775390334129352e-04 1.945312464111820239e+00
